timestamp,top_temp,bottom_temp
19/10/2019: 14:00:05,8.375,8.0
19/10/2019: 14:00:26,8.375,8.0
11/01/2020: 08:17:32,13.625,12.375
01/03/2020: 08:13:05,15.5,14.5
01/03/2020: 08:13:27,15.625,14.625
22/03/2020: 18:47:19,13.125,13.0
22/03/2020: 18:47:40,13.0,13.0
22/03/2020: 18:48:01,13.0,13.0
22/03/2020: 18:48:23,12.875,13.0
22/03/2020: 18:48:44,12.875,13.125
22/03/2020: 18:49:05,12.875,13.125
22/03/2020: 18:49:27,12.875,13.125
22/03/2020: 18:49:48,12.75,13.125
22/03/2020: 18:50:09,12.75,13.125
22/03/2020: 18:50:31,12.75,13.125
22/03/2020: 18:50:52,12.75,13.125
22/03/2020: 18:51:14,12.75,13.125
22/03/2020: 18:51:35,12.75,13.125
22/03/2020: 18:51:56,12.75,13.125
22/03/2020: 18:52:18,12.75,13.125
22/03/2020: 18:52:39,12.75,13.125
22/03/2020: 18:53:00,12.75,13.125
22/03/2020: 18:53:22,12.75,13.125
22/03/2020: 18:53:43,12.75,13.125
22/03/2020: 18:54:04,12.75,13.125
22/03/2020: 18:54:26,12.75,13.125
22/03/2020: 18:54:47,12.75,13.125
22/03/2020: 18:55:09,12.75,13.125
